text,annotation,spans,tag,properties.intentional,properties.iterative,properties.mental,properties.persistent,properties.representation_type,properties.unpredictable,properties.irreversible,properties.non_event_type
Effi Briest,was sie sich nur gefallen lassen mußte,"[[3575, 3613]]",process,['no'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"weil die schöne, schlanke Mama noch um eine Hand breit höher war","[[3615, 3679]]",stative_event,,,['no'],,['narrator_speech'],[2],,
Effi Briest,"Eben hatte sich Effi wieder erhoben, um abwechselnd nach links und rechts ihre turnerischen Drehungen zu machen","[[3682, 3793]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,als die von ihrer Stickerei gerade wieder aufblickende Mama ihr zurief,"[[3795, 3865]]",process,['yes'],['no'],['no'],[2],['narrator_speech'],[1],,
Effi Briest,"Effi, eigentlich hättest Du doch wohl Kunstreiterin werden müssen","[[3868, 3933]]",non_event,,,,,['character_speech'],,,"['modalised_statement', 'subjunctive_sentence']"
Effi Briest,Immer am Trapez,"[[3935, 3950]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,immer Tochter der Luft,"[[3952, 3974]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Ich glaube beinah,"[[3976, 3993]]",stative_event,,,['yes'],,['character_speech'],[1],,
Effi Briest,daß Du so was möchtest,"[[3995, 4017]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,"Vielleicht, Mama","[[4022, 4038]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Aber wenn es so wäre,"[[4040, 4060]]",non_event,,,,,['character_speech'],,,"['conditional_sentence', 'subjunctive_sentence']"
Effi Briest,wer wäre schuld,"[[4062, 4077]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Von wem hab' ich es,"[[4079, 4098]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Doch nur von Dir,"[[4100, 4116]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Oder meinst Du von Papa,"[[4118, 4141]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Da mußt Du nun selber lachen,"[[4143, 4171]]",process,['no'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,"Und dann, warum steckst Du mich in diesen Hänger, in diesen Jungenskittel","[[4173, 4246]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Mitunter denk' ich,"[[4248, 4266]]",process,['yes'],['yes'],['yes'],[1],['character_speech'],[1],,
Effi Briest,ich komme noch wieder in kurze Kleider,"[[4268, 4306]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Und wenn ich die erst wieder habe,"[[4308, 4341]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,dann knix' ich auch wieder wie ein Backfisch,"[[4343, 4387]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,und wenn dann die Rathenower herüber kommen,"[[4389, 4432]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,setze ich mich auf Oberst Goetze's Schoß,"[[4434, 4474]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,"und reite hopp, hopp","[[4475, 4495]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,Warum auch nicht,"[[4497, 4513]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation', 'question']"
Effi Briest,Dreiviertel ist er Onkel und nur ein Viertel Kourmacher,"[[4515, 4570]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Du bist schuld,"[[4572, 4586]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Warum kriege ich keine Staatskleider,"[[4588, 4624]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Warum machst Du keine Dame aus mir,"[[4626, 4660]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Möchtest Du's,"[[4665, 4678]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Nein,"[[4683, 4687]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Und dabei lief sie auf die Mama zu,"[[4690, 4724]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und umarmte sie stürmisch,"[[4725, 4750]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und küßte sie,"[[4751, 4764]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"Nicht so wild, Effi, nicht so leidenschaftlich","[[4768, 4814]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Ich beunruhige mich immer,"[[4816, 4841]]",change_of_state,['no'],['yes'],['yes'],[1],['character_speech'],[1],['no'],
Effi Briest,wenn ich Dich so sehe,"[[4843, 4864]]",process,['no'],['yes'],['no'],[1],['character_speech'],[2],,
Effi Briest,"Und die Mama schien ernstlich willens, in Äußerung ihrer Sorgen und Ängste fortzufahren","[[4872, 4959]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,Aber sie kam nicht weit damit,"[[4961, 4990]]",process,['no'],['no'],['no'],[1],['narrator_speech'],[2],,
Effi Briest,"weil in eben diesem Augenblicke drei junge  Mädchen aus der kleinen, in der Kirchhofsmauer angebrachten Eisenthür in den Garten eintraten","[[4992, 5128]]",process,['yes'],['no'],['no'],[2],['narrator_speech'],[2],,
Effi Briest,und einen Kiesweg entlang auf das Rondell und die Sonnenuhr zuschritten,"[[5129, 5200]]",process,['yes'],['yes'],['no'],[2],['narrator_speech'],[2],,
Effi Briest,Alle drei grüßten mit ihren Sonnenschirmen zu Effi herüber,"[[5202, 5260]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"und eilten dann auf Frau von Briest zu, um dieser die Hand zu küssen","[[5261, 5329]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Diese that rasch ein paar Fragen,"[[5331, 5363]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,"und lud dann die Mädchen ein, ihnen oder doch wenigstens Effi auf eine halbe Stunde Gesellschaft zu leisten","[[5364, 5471]]",process,['yes'],['no'],['no'],[2],['narrator_speech'],[1],,
Effi Briest,ich habe ohnehin noch zu thun,"[[5474, 5503]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,und junges Volk ist am liebsten unter sich,"[[5505, 5547]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Gehabt Euch wohl,"[[5549, 5565]]",non_event,,,,,['character_speech'],,,['request']
Effi Briest,Und dabei stieg sie die vom Garten in den Seitenflügel führende Steintreppe hinauf,"[[5568, 5650]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[2],,
Effi Briest,Und da war nun die Jugend wirklich allein,"[[5653, 5694]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,"Zwei der jungen Mädchen — kleine, rundliche Persönchen waren Töchter des auf Hansa, Skandinavien und Fritz Reuter eingeschworenen Kantors Jahnke","[[5697, 5751], [5852, 5941]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,"zu deren krausem, rotblondem Haar ihre Sommersprossen und ihre gute Laune ganz vorzüglich paßten","[[5753, 5849]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,"der denn auch, unter Anlehnung an seinen mecklenburgischen  Landsmann und Lieblingsdichter und nach dem Vorbilde von Mining und Lining, seinen eigenen Zwillingen die Namen Bertha und Hertha gegeben hatte","[[5943, 6145]]",process,['yes'],['no'],['no'],[2],['narrator_speech'],[1],,
Effi Briest,"Die dritte junge Dame war Hulda Niemeyer, Pastor Niemeyer's einziges Kind","[[6147, 6220]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,sie war damenhafter als die  beiden anderen,"[[6222, 6264]]",stative_event,,,['no'],,['narrator_speech'],[1],,
Effi Briest,dafür aber langweilig und eingebildet,"[[6266, 6303]]",stative_event,,,['no'],,['narrator_speech'],[2],,
Effi Briest,"eine lymphatische Blondine, mit etwas vorspringenden, blöden Augen","[[6305, 6371]]",stative_event,,,['no'],,['narrator_speech'],[0],,
Effi Briest,die trotzdem beständig nach 'was zu suchen schienen,"[[6373, 6424]]",non_event,,,,,['narrator_speech'],,,['modalised_statement']
Effi Briest,weshalb denn auch Klitzing von den Husaren gesagt hatte,"[[6426, 6481]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Sieht sie nicht aus,"[[6484, 6503]]",non_event,,,,,['character_speech'],,,"['negation', 'question']"
Effi Briest,als erwarte sie jeden Augenblick den Engel Gabriel,"[[6505, 6555]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Effi fand,"[[6558, 6567]]",process,['no'],['no'],['yes'],[1],['narrator_speech'],[1],,
Effi Briest,daß der etwas kritische Klitzing nur zu sehr recht habe,"[[6569, 6624]]",stative_event,,,['yes'],,"['narrator_speech', 'thought_representation']",[0],,
Effi Briest,"vermied es aber trotzdem, einen Unterschied zwischen den drei Freundinnen zu machen","[[6626, 6709]]",non_event,,,,,['narrator_speech'],,,['negation']
Effi Briest,Am wenigsten war ihr in diesem Augenblicke danach zu Sinn,"[[6711, 6768]]",non_event,,,,,['narrator_speech'],,,['negation']
Effi Briest,und während sie die Arme auf den Tisch stemmte,"[[6770, 6816]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[0],,
Effi Briest,sagte sie,"[[6818, 6827]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Diese langweilige Stickerei,"[[6830, 6857]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Gott sei Dank,"[[6859, 6872]]",non_event,,,,,['character_speech'],,,[]
Effi Briest,daß Ihr da seid,"[[6874, 6889]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Aber Deine Mama haben wir vertrieben,"[[6894, 6930]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,sagte Hulda,"[[6933, 6944]]",process,['yes'],['no'],['no'],[0],['narrator_speech'],[0],,
Effi Briest,Nicht doch,"[[6948, 6958]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,Wie sie Euch schon sagte,"[[6960, 6984]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,sie wäre doch gegangen,"[[6986, 7008]]",non_event,,,,,['character_speech'],,,['subjunctive_sentence']
Effi Briest,sie erwartet nämlich Besuch,"[[7010, 7037]]",process,['yes'],['no'],['no'],[2],['character_speech'],[1],,
Effi Briest,einen alten Freund aus ihren Mädchentagen her,"[[7039, 7084]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,von dem ich Euch nachher erzählen muß,"[[7086, 7123]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,"eine Liebesgeschichte mit Held  und Heldin, und zuletzt mit Entsagung","[[7125, 7193]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Ihr werdet Augen machen und  Euch wundern,"[[7195, 7235]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Übrigens habe ich Mamas alten Freund schon drüben in Schwantikow gesehen,"[[7237, 7309]]",process,['no'],['no'],['yes'],[2],['character_speech'],[1],,
Effi Briest,"er ist Landrat, gute Figur und sehr männlich","[[7311, 7355]]",stative_event,,,['no'],,['character_speech'],[1],,
Effi Briest,Das ist die Hauptsache,"[[7360, 7382]]",stative_event,,,['no'],,['character_speech'],[0],,
Effi Briest,sagte Hertha,"[[7385, 7397]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[0],,
Effi Briest,Freilich ist das die Hauptsache,"[[7401, 7432]]",stative_event,,,['no'],,['character_speech'],[0],,
Effi Briest,"Weiber weiblich, Männer  männlich","[[7435, 7467]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'generic_sentence']"
Effi Briest,das ist einer von Papas Lieblingssätzen,"[[7471, 7478], [7494, 7525]]",stative_event,,,['no'],,['character_speech'],[0],,
Effi Briest,wie ihr wißt,"[[7480, 7492]]",stative_event,,,['yes'],,['character_speech'],[0],,
Effi Briest,Und nun helft mir erst Ordnung schaffen auf dem Tisch hier,"[[7527, 7585]]",non_event,,,,,['character_speech'],,,['imperative_sentence']
Effi Briest,sonst gibt es wieder eine Strafpredigt,"[[7587, 7625]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Im Nu waren die Docken in den Korb gepackt,"[[7629, 7671]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,und als alle wieder saßen,"[[7673, 7698]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[0],,
Effi Briest,sagte Hulda,"[[7700, 7711]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[0],,
Effi Briest,"Nun aber Effi, nun ist es Zeit","[[7714, 7744]]",stative_event,,,['no'],,['character_speech'],[0],,
Effi Briest,nun die Liebesgeschichte mit Entsagung,"[[7746, 7784]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Oder ist es nicht so schlimm,"[[7786, 7814]]",non_event,,,,,['character_speech'],,,"['negation', 'question']"
Effi Briest,Eine Geschichte mit Entsagung ist nie schlimm,"[[7819, 7864]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Aber ehe Hertha nicht von den Stachelbeeren genommen,"[[7866, 7918]]",non_event,,,,,['character_speech'],,,"['conditional_sentence', 'modalised_statement']"
Effi Briest,eh' kann ich  nicht anfangen,"[[7920, 7947]]",non_event,,,,,['character_speech'],,,"['conditional_sentence', 'modalised_statement']"
Effi Briest,sie läßt ja kein Auge davon,"[[7950, 7977]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,Übrigens nimm so viel Du willst,"[[7979, 8010]]",non_event,,,,,['character_speech'],,,"['imperative_sentence', 'request']"
Effi Briest,wir können ja hinterher neue pflücken,"[[8012, 8049]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,nur wirf die Schalen weit weg,"[[8051, 8080]]",non_event,,,,,['character_speech'],,,['imperative_sentence']
Effi Briest,"oder noch besser, lege sie hier auf die Zeitungsbeilage","[[8081, 8136]]",non_event,,,,,['character_speech'],,,['imperative_sentence']
Effi Briest,wir machen dann eine Tüte daraus,"[[8138, 8170]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,und schaffen alles bei Seite,"[[8171, 8199]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Mama kann es nicht leiden,"[[8201, 8226]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,wenn die Schlusen so überall umher liegen,"[[8228, 8269]]",non_event,,,,,['character_speech'],,,['conditional_sentence']
Effi Briest,und sagt immer,"[[8271, 8285]]",process,['yes'],['yes'],['no'],[1],['character_speech'],[1],,
Effi Briest,man könne dabei ausgleiten und ein Bein brechen,"[[8287, 8334]]",non_event,,,,,['character_speech_1'],,,"['generic_sentence', 'modalised_statement']"
Effi Briest,Glaub' ich nicht,"[[8339, 8355]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,sagte Hertha,"[[8358, 8370]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,während sie den Stachelbeeren fleißig zusprach,"[[8372, 8418]]",process,['yes'],['yes'],['no'],[1],['narrator_speech'],[0],,
Effi Briest,Ich auch nicht,"[[8422, 8436]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,bestätigte Effi,"[[8439, 8454]]",process,['yes'],['no'],['no'],[1],['narrator_speech'],[1],,
Effi Briest,Denkt doch 'mal nach,"[[8457, 8477]]",non_event,,,,,['character_speech'],,,['imperative_sentence']
Effi Briest,"ich falle jeden Tag wenigstens zwei-, dreimal","[[8479, 8524]]",process,['no'],['yes'],['no'],[0],['character_speech'],[2],,
Effi Briest,und noch ist mir nichts gebrochen,"[[8526, 8559]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,Was ein richtiges Bein ist,"[[8561, 8587]]",non_event,,,,,['character_speech'],,,"['conditional_sentence', 'generic_sentence']"
Effi Briest,das bricht nicht so leicht,"[[8589, 8615]]",non_event,,,,,['character_speech'],,,"['conditional_sentence', 'generic_sentence', 'negation']"
Effi Briest,meines gewiß nicht,"[[8617, 8635]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,"und Deines auch nicht, Hertha","[[8636, 8665]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'negation']"
Effi Briest,"Was meinst Du, Hulda","[[8667, 8687]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Man soll sein Schicksal nicht versuchen,"[[8692, 8731]]",non_event,,,,,['character_speech'],,,"['generic_sentence', 'negation']"
Effi Briest,Hochmut kommt vor dem  Fall,"[[8733, 8759]]",non_event,,,,,['character_speech'],,,['generic_sentence']
Effi Briest,Immer Gouvernante,"[[8764, 8781]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Du bist doch die geborne alte Jungfer,"[[8783, 8820]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,Und hoffe mich doch noch zu verheiraten,"[[8825, 8864]]",stative_event,,,['yes'],,['character_speech'],[2],,
Effi Briest,Und vielleicht eher als Du,"[[8866, 8892]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'modalised_statement']"
Effi Briest,Meinetwegen,"[[8897, 8908]]",non_event,,,,,['character_speech'],,,['ellipsis']
Effi Briest,Denkst Du,"[[8910, 8919]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,daß ich darauf warte,"[[8921, 8941]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Das fehlte noch,"[[8943, 8958]]",non_event,,,,,['character_speech'],,,['subjunctive_sentence']
Effi Briest,"Übrigens, ich kriege schon einen","[[8960, 8992]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,und vielleicht bald,"[[8994, 9013]]",non_event,,,,,['character_speech'],,,"['ellipsis', 'modalised_statement']"
Effi Briest,Da ist mir nicht bange,"[[9015, 9037]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,Neulich erst hat mir der kleine Ventivegni von drüben gesagt,"[[9039, 9099]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,"Fräulein Effi, was gilt die Wette","[[9101, 9134]]",non_event,,,,,['character_speech'],,,"['question', 'request']"
Effi Briest,wir sind hier noch in diesem Jahre zu Polterabend und Hochzeit,"[[9136, 9198]]",non_event,,,,,['character_speech'],,,['modalised_statement']
Effi Briest,Und was sagtest Du da,"[[9203, 9224]]",non_event,,,,,['character_speech'],,,['question']
Effi Briest,Wohl möglich,"[[9229, 9241]]",non_event,,,,,['character_speech_1'],,,['ellipsis']
Effi Briest,sagt' ich,"[[9244, 9253]]",process,['yes'],['no'],['no'],[1],['character_speech'],[1],,
Effi Briest,wohl möglich,"[[9256, 9268]]",non_event,,,,,['character_speech_1'],,,['ellipsis']
Effi Briest,Hulda ist die älteste,"[[9270, 9291]]",stative_event,,,['no'],,['character_speech_1'],[1],,
Effi Briest,und kann sich jeden Tag verheiraten,"[[9292, 9327]]",non_event,,,,,['character_speech_1'],,,['modalised_statement']
Effi Briest,Aber er wollte davon nichts wissen,"[[9331, 9365]]",non_event,,,,,['character_speech'],,,['negation']
Effi Briest,und sagte,"[[9366, 9375]]",process,['yes'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,Nein,"[[9378, 9382]]",non_event,,,,,['character_speech_1'],,,"['ellipsis', 'negation']"
Effi Briest,bei einer anderen jungen Dame,"[[9384, 9413]]",non_event,,,,,['character_speech_1'],,,"['ellipsis', 'modalised_statement']"
Effi Briest,die gerade so brünett ist,"[[9415, 9440]]",non_event,,,,,['character_speech_1'],,,['modalised_statement']
Effi Briest,wie Fräulein Hulda blond ist,"[[9442, 9470]]",stative_event,,,['no'],,['character_speech_1'],[0],,
Effi Briest,Und dabei sah er mich ganz ernsthaft an,"[[9473, 9512]]",process,['yes'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,Aber ich komme vom Hundertsten aufs Tausendste,"[[9520, 9566]]",process,['no'],['no'],['no'],[1],['character_speech'],[2],,
Effi Briest,und vergesse die Geschichte,"[[9567, 9594]]",stative_event,,,['no'],,['character_speech'],[2],,
Effi Briest,"Ja, Du brichst immer wieder ab","[[9599, 9629]]",process,['no'],['yes'],['no'],[1],['character_speech'],[2],,
Effi Briest,am Ende willst Du nicht,"[[9631, 9654]]",non_event,,,,,['character_speech'],,,"['modalised_statement', 'negation']"
